"sarga","sloka_number","meaning","rephrase_meaning","rephrase_meaningKn"
"6","57","Having a multitude of eminent saints saluting his feet, dressed in yellow garments glistening like gold, embellished with sparkling multicoloured pearl ornaments glimmering with precious golden bracelets, beautified by the garland of lustrous flowers, bearing a body constituted of innate knowledge and bliss. shloka 56 & 57. (as applied to Himalayas) Madhwacharya, seeing the splendour of the sublime snow-capped Himalaya mountains containing full-bloomed lotuslakes and countless flower couches for the delight of the righteous and myriad trees with variegated flowers majestically tall, gleaming with ridges replete with marakat gems. With a host of eminent Sages in its groves adoring the Lord, blazing the heavens with its golden peaks, teeming with variegated lustrous diamonds, with radiant patches of ground lying in the midst and decked with the charming range of flourishing forests, remembered Lord Narayana (its sublime creator).","Possessing numerous renowned sages honoring his feet adorned in yellow garments shining like gold decorated with brilliant multicolored pearl ornaments gleaming with valuable golden bracelets beautified by the garland of radiant flowers bearing a form composed of inherent knowledge and bliss. Verses 56 and 57. Applied to Himalayas: Madhwacharya observing the magnificence of the lofty snow-crowned Himalaya mountains containing fully bloomed lotus ponds and innumerable flower beds for the joy of the righteous and countless trees with diverse flowers majestically towering gleaming with peaks filled with emerald gems, with a multitude of distinguished sages in its forests adoring the Lord illuminating the skies with its golden summits abundant with varied lustrous diamonds with shining areas of land situated in the center and adorned with the attractive range of thriving forests remembered Lord Narayana its magnificent creator.","ಅವರ ಪಾದಗಳನ್ನು ಗೌರವಿಸುವ ಅನೇಕ ಪ್ರಸಿದ್ಧ ಋಷಿಗಳನ್ನು ಹೊಂದಿದ್ದು, ಬಂಗಾರದಂತೆ ಹೊಳೆಯುತ್ತಿರುವ ಹಳದಿ ವಸ್ತ್ರಗಳಲ್ಲಿ ಸುಸಜ್ಜಿತರಾಗಿ, ಅದ್ಭುತ ಬಹುವರ್ಣದ ಮುತ್ತಿನ ಆಭರಣಗಳಿಂದ ಅಲಂಕೃತರಾಗಿ, ಬೆಲೆಬಾಳುವ ಚಿನ್ನದ ಬಳೆಗಳಿಂದ ಹೊಳೆಯುತ್ತಿದ್ದು, ಪ್ರಕಾಶಮಾನವಾದ ಹೂವುಗಳ ಮಾಲೆಯಿಂದ ಸುಂದರೀಕರಿಸಿದ್ದು, ಸ್ವಾಭಾವಿಕ ಜ್ಞಾನ ಮತ್ತು ಆನಂದದಿಂದ ಕೂಡಿದ ರೂಪವನ್ನು ಹೊಂದಿದ್ದಾರೆ. ಶ್ಲೋಕಗಳು 56 ಮತ್ತು 57. ಹಿಮಾಲಯಕ್ಕೆ ಅನ್ವಯಿಸಿದಾಗ: ಮಾಧ್ವಾಚಾರ್ಯರು ಉನ್ನತ ಹಿಮದ ಕಿರೀಟವನ್ನು ಧರಿಸಿದ ಹಿಮಾಲಯ ಪರ್ವತಗಳ ಭವ್ಯತೆಯನ್ನು ನೋಡುತ್ತಾ, ಸಂಪೂರ್ಣವಾಗಿ ಅರಳಿದ ಕಮಲ ಕೊಳಗಳು ಮತ್ತು ಸದ್ಗುಣಿಗಳ ಸಂತೋಷಕ್ಕಾಗಿ ಅಸಂಖ್ಯಾತ ಹೂವಿನ ತೋಟಗಳನ್ನು ಹೊಂದಿದ್ದು, ವೈವಿಧ್ಯಮಯ ಹೂವುಗಳನ್ನು ಹೊಂದಿದ ಅಸಂಖ್ಯಾತ ವೃಕ್ಷಗಳೊಂದಿಗೆ ಭವ್ಯವಾಗಿ ಎತ್ತರಕ್ಕೆ ಏರುತ್ತಿದ್ದು, ಪಚ್ಚೆ ರತ್ನಗಳಿಂದ ತುಂಬಿದ ಶಿಖರಗಳೊಂದಿಗೆ ಹೊಳೆಯುತ್ತಿದ್ದು, ತನ್ನ ಅರಣ್ಯಗಳಲ್ಲಿ ಭಗವಂತನನ್ನು ಆರಾಧಿಸುವ ಅನೇಕ ಶ್ರೇಷ್ಠ ಋಷಿಗಳೊಂದಿಗೆ, ತನ್ನ ಚಿನ್ನದ ಶಿಖರಗಳಿಂದ ಆಕಾಶವನ್ನು ಪ್ರಕಾಶಿಸುತ್ತಿದ್ದು, ವೈವಿಧ್ಯಮಯ ಹೊಳೆಯುವ ವಜ್ರಗಳಿಂದ ಸಮೃದ್ಧವಾಗಿದ್ದು, ಮಧ್ಯದಲ್ಲಿ ಹೊಳೆಯುವ ಭೂಮಿಯ ಪ್ರದೇಶಗಳೊಂದಿಗೆ ಮತ್ತು ವೃದ್ಧಿಯಾಗುತ್ತಿರುವ ಅರಣ್ಯಗಳ ಆಕರ್ಷಕ ಶ್ರೇಣಿಯಿಂದ ಅಲಂಕೃತವಾಗಿದ್ದು, ಅದರ ಭವ್ಯವಾದ ಸೃಷ್ಟಿಕರ್ತನಾದ ಭಗವಂತ ನಾರಾಯಣನನ್ನು ಸ್ಮರಿಸಿದರು."
"7","1","Poornaprajna thus moving on, discerned in the northern region of the Himalayan range the highly celebrated choice hermitage, greatly embellished by the group of jujube trees, the abode of Lord Vedavyasa, the heaven of Goddess Lakshmi (the source of wealth).","Poornaprajna continuing forward observed in the northern area of the Himalayan range the highly renowned excellent hermitage greatly beautified by the cluster of jujube trees the residence of Lord Vedavyasa the paradise of Goddess Lakshmi the origin of prosperity.","ಮುಂದೆ ಸಾಗುತ್ತಿದ್ದ ಪೂರ್ಣಪ್ರಜ್ಞರು ಹಿಮಾಲಯ ಶ್ರೇಣಿಯ ಉತ್ತರ ಪ್ರದೇಶದಲ್ಲಿ, ಸಮೃದ್ಧಿಯ ಮೂಲವಾದ ದೇವಿ ಲಕ್ಷ್ಮಿಯ ಸ್ವರ್ಗವಾದ, ಭಗವಂತ ವೇದವ್ಯಾಸರ ನಿವಾಸವಾದ, ಬದರಿ ಮರಗಳ ಗುಂಪಿನಿಂದ ಅತ್ಯಂತ ಸುಂದರೀಕರಿಸಲ್ಪಟ್ಟ ಅತ್ಯಂತ ಪ್ರಸಿದ್ಧವಾದ ಉತ್ತಮ ಆಶ್ರಮವನ್ನು ಗಮನಿಸಿದರು."
"7","2","There (in the retreat of the Badari precincts) scintillated, the celebrated sages specialized in separate Vedic sections, sheltered under the feet of Lord Vishnu, reputed for their glorious sacrifices, unmindful of the snow, showers and heat, in the thick woods of rare tall, branchy trees touching the sky, the refuge of birds, proof against cold, rain and heat.","There in the retreat of the Badari region shone the celebrated sages specialized in individual Vedic sections sheltered under the feet of Lord Vishnu distinguished for their magnificent sacrifices unmindful of the snow rainfall and heat in the dense forests of exceptional tall branching trees reaching the sky the haven of birds protected against cold rain and heat.","ಅಲ್ಲಿ ಬದರಿ ಪ್ರದೇಶದ ಏಕಾಂತದಲ್ಲಿ, ವ್ಯಕ್ತಿಗತ ವೈದಿಕ ವಿಭಾಗಗಳಲ್ಲಿ ಪರಿಣತರಾದ ಪ್ರಸಿದ್ಧ ಋಷಿಗಳು ಹೊಳೆಯುತ್ತಿದ್ದರು, ಭಗವಂತ ವಿಷ್ಣುವಿನ ಪಾದಗಳ ಆಶ್ರಯದಲ್ಲಿ, ತಮ್ಮ ಭವ್ಯವಾದ ಯಜ್ಞಗಳಿಗೆ ಪ್ರಸಿದ್ಧರಾಗಿ, ಹಿಮ ವರ್ಷ ಮತ್ತು ಉಷ್ಣತೆಯನ್ನು ಲಕ್ಷಿಸದೆ, ಆಕಾಶವನ್ನು ತಲುಪುವ ಅಸಾಧಾರಣ ಎತ್ತರವಾದ ಕೊಂಬೆಗಳುಳ್ಳ ಮರಗಳ ದಟ್ಟವಾದ ಅರಣ್ಯಗಳಲ್ಲಿ, ಶೀತ ವರ್ಷ ಮತ್ತು ಉಷ್ಣತೆಯ ವಿರುದ್ಧ ರಕ್ಷಿಸಲ್ಪಟ್ಟ ಪಕ್ಷಿಗಳ ಸ್ವರ್ಗದಲ್ಲಿ."
"7","3","There dwelt renowned saints like Shukacharya propounding the Vaishnava Siddhanta in words sweet like nectar to the ear, learned Brahmins deeply meditating on Lord Narayana, the beloved of Goddess Lakshmi and birds with radiant white wings and pleasant swans sucking the lotus, chirping honeyed sounds.","There resided famous saints like Shukacharya expounding the Vaishnava philosophy in words sweet like nectar to the ear learned Brahmins deeply contemplating on Lord Narayana the beloved of Goddess Lakshmi and birds with brilliant white wings and delightful swans drawing the lotus singing honeyed sounds.","ಅಲ್ಲಿ ಶುಕಾಚಾರ್ಯರಂತಹ ಪ್ರಸಿದ್ಧ ಸಂತರು ವಾಸಿಸುತ್ತಿದ್ದರು, ಕಿವಿಗೆ ಅಮೃತದಂತೆ ಮಧುರವಾದ ಮಾತುಗಳಲ್ಲಿ ವೈಷ್ಣವ ತತ್ತ್ವಶಾಸ್ತ್ರವನ್ನು ವಿವರಿಸುತ್ತಿದ್ದರು, ದೇವಿ ಲಕ್ಷ್ಮಿಯ ಪ್ರಿಯ ಭಗವಂತ ನಾರಾಯಣನನ್ನು ಆಳವಾಗಿ ಚಿಂತಿಸುತ್ತಿರುವ ವಿದ್ವಾಂಸ ಬ್ರಾಹ್ಮಣರು ಮತ್ತು ಅದ್ಭುತ ಬಿಳಿ ರೆಕ್ಕೆಗಳನ್ನು ಹೊಂದಿದ ಪಕ್ಷಿಗಳು ಮತ್ತು ಮಧುರ ಶಬ್ದಗಳನ್ನು ಹಾಡುತ್ತಾ ಕಮಲವನ್ನು ಎಳೆಯುತ್ತಿರುವ ಮನೋಹರ ಹಂಸಗಳು."
"7","4","Madhwacharya saw at Badari the dwelling of Lord Vedavyasa, full of blossomed flowers with many hermits bereft of mutual jealousy satisfying the desires of the devout, unattainable by others bereft of knowledge and devotion, glowing like the celestial Vaikunta inhabited by the released souls free from mutual ill-will, with their wishes fulfilled at will but inaccessible to the ineligibles.","Madhwacharya saw at Badari the residence of Lord Vedavyasa filled with blooming flowers with many hermits free from mutual envy fulfilling the wishes of the devoted unattainable by others lacking knowledge and devotion shining like the heavenly Vaikunta inhabited by the liberated souls free from mutual hatred with their desires satisfied at will but inaccessible to the unqualified.","ಮಾಧ್ವಾಚಾರ್ಯರು ಬದರಿಯಲ್ಲಿ ಭಗವಂತ ವೇದವ್ಯಾಸರ ನಿವಾಸವನ್ನು ನೋಡಿದರು, ಅರಳಿದ ಹೂವುಗಳಿಂದ ತುಂಬಿದ್ದು, ಪರಸ್ಪರ ಹೊಟ್ಟೇಕಿಚ್ಚುಗಳಿಲ್ಲದ ಅನೇಕ ಸನ್ಯಾಸಿಗಳೊಂದಿಗೆ, ಭಕ್ತರ ಆಸೆಗಳನ್ನು ಪೂರೈಸುತ್ತಿದ್ದು, ಜ್ಞಾನ ಮತ್ತು ಭಕ್ತಿಯ ಕೊರತೆಯಿರುವ ಇತರರಿಗೆ ಅಪ್ರಾಪ್ಯವಾಗಿದ್ದು, ಪರಸ್ಪರ ದ್ವೇಷವಿಲ್ಲದ ಮುಕ್ತ ಆತ್ಮಗಳು ವಾಸಿಸುವ ಸ್ವರ್ಗೀಯ ವೈಕುಂಠದಂತೆ ಹೊಳೆಯುತ್ತಿದ್ದು, ತಮ್ಮ ಇಚ್ಛೆಯಂತೆ ಆಸೆಗಳು ತೃಪ್ತರಾಗಿದ್ದು, ಆದರೆ ಅಯೋಗ್ಯರಿಗೆ ಅಪ್ರಾಪ್ಯವಾಗಿತ್ತು."
"7","5","The anchorites, experts in comprehending the depth of human virtues discerning the eminent Madhwacharya endowed with all thirty-two bodily excellences entering the hermitage out of curiosity, deliberated thus:","The hermits skilled in perceiving the depth of human excellence observing the distinguished Madhwacharya endowed with all thirty-two bodily marks entering the hermitage out of interest reflected thus.","ಮಾನವ ಶ್ರೇಷ್ಠತೆಯ ಆಳವನ್ನು ಗ್ರಹಿಸುವಲ್ಲಿ ನಿಪುಣರಾದ ಸನ್ಯಾಸಿಗಳು, ಎಲ್ಲಾ ಮೂವತ್ತೆರಡು ಶಾರೀರಿಕ ಲಕ್ಷಣಗಳಿಂದ ಕೂಡಿದ ಶ್ರೇಷ್ಠ ಮಾಧ್ವಾಚಾರ್ಯರು ಆಶ್ರಮಕ್ಕೆ ಪ್ರವೇಶಿಸುವುದನ್ನು ಆಸಕ್ತಿಯಿಂದ ಗಮನಿಸುತ್ತಾ ಹೀಗೆ ಚಿಂತಿಸಿದರು."
"7","6","Who is this unique person approaching Lord Vedavyasa statusque (stout and tall) in stature like the golden Sal tree having long arms, charming bright eyes like that of a lotus, a glowing face like the spotless moon and a majestic gait in the manner of an elephant?","Who is this remarkable person approaching Lord Vedavyasa equal in stature stout and tall like the golden Sal tree having lengthy arms attractive bright eyes like that of a lotus a radiant face like the flawless moon and a dignified walk in the manner of an elephant.","ಭಗವಂತ ವೇದವ್ಯಾಸರನ್ನು ಸಮೀಪಿಸುತ್ತಿರುವ ಈ ಗಮನಾರ್ಹ ವ್ಯಕ್ತಿ ಯಾರು, ಎತ್ತರದಲ್ಲಿ ಸಮಾನರಾಗಿದ್ದು, ಚಿನ್ನದ ಸಾಲ್ ಮರದಂತೆ ದಡ್ಡ ಮತ್ತು ಎತ್ತರವಾಗಿದ್ದು, ಉದ್ದವಾದ ಭುಜಗಳನ್ನು ಹೊಂದಿದ್ದು, ಕಮಲದಂತೆ ಆಕರ್ಷಕ ಪ್ರಕಾಶಮಾನವಾದ ಕಣ್ಣುಗಳನ್ನು ಹೊಂದಿದ್ದು, ದೋಷರಹಿತ ಚಂದ್ರನಂತೆ ಪ್ರಕಾಶಮಾನವಾದ ಮುಖವನ್ನು ಹೊಂದಿದ್ದು, ಆನೆಯ ರೀತಿಯಲ್ಲಿ ಗಂಭೀರವಾದ ನಡಗೆಯನ್ನು ಹೊಂದಿರುವವರು."
"7","7","He cannot be the glistening moon because he is not icy-cold, nor can he be the dazzling sun with scorching heat: a like of him, who possesses a form full of precious qualities, is never to be found in the whole universe.","He cannot be the shining moon because he is not ice-cold nor can he be the brilliant sun with burning heat. A being like him who possesses a form filled with valuable qualities is never to be discovered in the entire universe.","ಅವರು ಹೊಳೆಯುತ್ತಿರುವ ಚಂದ್ರನಾಗಿರಲು ಸಾಧ್ಯವಿಲ್ಲ ಏಕೆಂದರೆ ಅವರು ಮಂಜುಗಡ್ಡೆಯಂತೆ ತಣ್ಣಗಾಗಿಲ್ಲ ಅಥವಾ ಸುಡುವ ಶಾಖವನ್ನು ಹೊಂದಿದ ಪ್ರಕಾಶಮಾನವಾದ ಸೂರ್ಯನಾಗಿರಲು ಸಾಧ್ಯವಿಲ್ಲ. ಬೆಲೆಬಾಳುವ ಗುಣಗಳಿಂದ ತುಂಬಿದ ರೂಪವನ್ನು ಹೊಂದಿರುವ ಅವರಂತಹ ಜೀವಿಯನ್ನು ಸಂಪೂರ್ಣ ಬ್ರಹ್ಮಾಂಡದಲ್ಲಿ ಎಂದಿಗೂ ಕಂಡುಹಿಡಿಯಲಾಗುವುದಿಲ್ಲ."
"7","8","Indeed, this indefatigable undaunted individual bearing the marks of the excellent ascetic order, though embodied in human form appears surprisingly strange.","Indeed this tireless fearless individual bearing the characteristics of the perfect ascetic order though embodied in human shape appears remarkably unusual.","ನಿಜವಾಗಿಯೂ ಈ ದಣಿವರಹಿತ ನಿರ್ಭೀತ ವ್ಯಕ್ತಿ, ಪರಿಪೂರ್ಣ ಸನ್ಯಾಸ ಕ್ರಮದ ಲಕ್ಷಣಗಳನ್ನು ಹೊಂದಿದ್ದು, ಮಾನವ ಆಕಾರದಲ್ಲಿ ಮೂರ್ತೀಭವಿಸಿದ್ದರೂ ಗಮನಾರ್ಹವಾಗಿ ಅಸಾಧಾರಣವಾಗಿ ಕಾಣುತ್ತಾರೆ."
"7","9","Can he be the wise four-faced Brahma or Lord Vayu approaching in person, in the guise of a monk with a longing to meet their master Lord Vedavyasa? If not so, how can he possess all the exquisite (thirty-two) marks?","Can he be the intelligent four-faced Brahma or Lord Vayu arriving in person in the appearance of a monk with a desire to meet their master Lord Vedavyasa. If not how can he possess all the refined thirty-two marks.","ಅವರು ಬುದ್ಧಿವಂತ ನಾಲ್ಕು ಮುಖಗಳನ್ನು ಹೊಂದಿದ ಬ್ರಹ್ಮನಾಗಿರಬಹುದೇ ಅಥವಾ ಭಗವಂತ ವೇದವ್ಯಾಸರನ್ನು ಭೇಟಿ ಮಾಡುವ ಇಚ್ಚೆಯಿಂದ ಸನ್ಯಾಸಿಯ ವೇಷದಲ್ಲಿ ವ್ಯಕ್ತಿಯಾಗಿ ಬಂದ ಭಗವಂತ ವಾಯುವಾಗಿರಬಹುದೇ. ಇಲ್ಲದಿದ್ದರೆ ಅವರು ಎಲ್ಲಾ ಪರಿಷ್ಕೃತ ಮೂವತ್ತೆರಡು ಲಕ್ಷಣಗಳನ್ನು ಹೇಗೆ ಹೊಂದಬಹುದು."
"7","10","Madhwacharya, whose human excellences were so scrutinized by the inquisitive saints and sages hastening ahead, discerned at a distance (in the vicinity) the choice Badari tree esteemed like the celestial trees in heaven (Parijat, Kalpavriksha).","Madhwacharya whose human perfections were thus examined by the curious saints and sages hurrying forward observed at a distance in the vicinity the excellent Badari tree esteemed like the heavenly trees in paradise Parijat and Kalpavriksha.","ಕುತೂಹಲಿ ಸಂತರು ಮತ್ತು ಋಷಿಗಳಿಂದ ಹೀಗೆ ತನ್ನ ಮಾನವ ಪರಿಪೂರ್ಣತೆಗಳನ್ನು ಪರೀಕ್ಷಿಸಲ್ಪಟ್ಟ ಮಾಧ್ವಾಚಾರ್ಯರು ಆತುರದಿಂದ ಮುಂದೆ ಸಾಗಿ, ಸಮೀಪದಲ್ಲಿ ದೂರದಲ್ಲಿ ಸ್ವರ್ಗದಲ್ಲಿನ ಪಾರಿಜಾತ ಮತ್ತು ಕಲ್ಪವೃಕ್ಷದಂತಹ ಸ್ವರ್ಗೀಯ ವೃಕ್ಷಗಳಂತೆ ಗೌರವಾನ್ವಿತವಾದ ಉತ್ತಮ ಬದರಿ ಮರವನ್ನು ಗಮನಿಸಿದರು."
"7","11","The lofty Badari tree with its soft bark, stretching its branches all around sprouted into beaming blossoms appeared like Lord Shesha with his sleek skin spreading his thousand lifted hoods, dazzling with diamonds in their crests, standing in the neighbourhood to serve his master Lord Vedavyasa.","The tall Badari tree with its smooth bark extending its branches all around sprouted into gleaming blossoms appeared like Lord Shesha with his sleek skin spreading his thousand raised hoods sparkling with diamonds in their crests standing nearby to serve his master Lord Vedavyasa.","ತನ್ನ ನಯವಾದ ತೊಗಟೆಯೊಂದಿಗೆ ಎಲ್ಲಾ ಕಡೆಗೆ ತನ್ನ ಕೊಂಬೆಗಳನ್ನು ವಿಸ್ತರಿಸುತ್ತಿರುವ ಎತ್ತರದ ಬದರಿ ಮರವು, ಹೊಳೆಯುವ ಹೂವುಗಳಿಗೆ ಚಿಗುರಿತು, ತನ್ನ ನಯವಾದ ತೊಗಟೆಯೊಂದಿಗೆ ತನ್ನ ಸಾವಿರ ಎತ್ತರಿಸಿದ ಫಣಗಳನ್ನು ಹರಡುತ್ತಿರುವ ಭಗವಂತ ಶೇಷನಂತೆ ಕಾಣಿಸಿತು, ಅವುಗಳ ಶಿಖರಗಳಲ್ಲಿ ವಜ್ರಗಳೊಂದಿಗೆ ಹೊಳೆಯುತ್ತಿದ್ದು, ತನ್ನ ಯಜಮಾನ ಭಗವಂತ ವೇದವ್ಯಾಸರನ್ನು ಸೇವಿಸಲು ಹತ್ತಿರ ನಿಂತಿದ್ದಂತೆ."
"7","12","The Badari tree very dear to Lord Vedavyasa, enriched with variegated strange leaves of varied shapes (big and small) shadowing the rays of the sun and rendering happiness to the hermits, glistened like Garuda, the king of birds with his blazing wings, the blessed carrier (most dear to) of Lord Narayana consort of Goddess Lakshmi, the delight of his father Kashyapa, impeding Indra’s thunderbolt.","The Badari tree very precious to Lord Vedavyasa enriched with diverse unusual leaves of different shapes large and small blocking the rays of the sun and providing happiness to the hermits glittered like Garuda the king of birds with his blazing wings the blessed vehicle most dear to Lord Narayana consort of Goddess Lakshmi the delight of his father Kashyapa blocking Indra's thunderbolt.","ಭಗವಂತ ವೇದವ್ಯಾಸರಿಗೆ ಅತ್ಯಂತ ಅಮೂಲ್ಯವಾದ ಬದರಿ ಮರವು, ವಿವಿಧ ಅಸಾಮಾನ್ಯ ಎಲೆಗಳಿಂದ ಸಮೃದ್ಧವಾಗಿದ್ದು, ವಿವಿಧ ಆಕಾರಗಳಲ್ಲಿ ದೊಡ್ಡ ಮತ್ತು ಚಿಕ್ಕದಾಗಿದ್ದು, ಸೂರ್ಯನ ಕಿರಣಗಳನ್ನು ತಡೆಯುತ್ತಿದ್ದು ಮತ್ತು ಸನ್ಯಾಸಿಗಳಿಗೆ ಸಂತೋಷವನ್ನು ಒದಗಿಸುತ್ತಿದ್ದು, ತನ್ನ ಪ್ರಕಾಶಮಾನವಾದ ರೆಕ್ಕೆಗಳನ್ನು ಹೊಂದಿದ ಪಕ್ಷಿಗಳ ರಾಜನಾದ ಗರುಡನಂತೆ ಹೊಳೆಯಿತು, ದೇವಿ ಲಕ್ಷ್ಮಿಯ ಪತಿ ಭಗವಂತ ನಾರಾಯಣನಿಗೆ ಅತ್ಯಂತ ಪ್ರಿಯವಾದ ಆಶೀರ್ವದಿತ ವಾಹನವಾದ, ತನ್ನ ತಂದೆ ಕಶ್ಯಪನ ಸಂತೋಷವಾದ, ಇಂದ್ರನ ವಜ್ರಾಯುಧವನ್ನು ತಡೆದು ಹೊಳೆಯಿತು."
"7","13","Madhwacharya saw that tall branched-out Badari tree, yielding delicious fruits inaccessible to the ineligible Avaishnavas, the seat of discourses on Bharata and Satwik Puranas that appeared like the Vedas incarnate with their varied sections, leading its devotees to salvation impossible to be attained by the undeserving, with the Satwik Puranas and epics based on it.","Madhwacharya saw that tall branched Badari tree producing delightful fruits inaccessible to the unqualified non-Vaishnavas the place of teachings on Bharata and Satwik Puranas that appeared like the Vedas manifested with their different sections leading its devotees to liberation impossible to be reached by the undeserving with the Satwik Puranas and epics based on it.","ಮಾಧ್ವಾಚಾರ್ಯರು ಆ ಎತ್ತರದ ಕೊಂಬೆಗಳುಳ್ಳ ಬದರಿ ಮರವನ್ನು ನೋಡಿದರು, ಅಯೋಗ್ಯ ವೈಷ್ಣವೇತರರಿಗೆ ಅಪ್ರಾಪ್ಯವಾದ ಮನೋಹರ ಫಲಗಳನ್ನು ಉತ್ಪಾದಿಸುತ್ತಿದ್ದು, ಭಾರತ ಮತ್ತು ಸಾತ್ವಿಕ ಪುರಾಣಗಳ ಬೋಧನೆಗಳ ಸ್ಥಳವಾಗಿದ್ದು, ತನ್ನ ಭಕ್ತರನ್ನು ಮೋಕ್ಷಕ್ಕೆ ಕರೆದೊಯ್ಯುವ ವಿವಿಧ ವಿಭಾಗಗಳೊಂದಿಗೆ ಪ್ರಕಟಗೊಂಡ ವೇದಗಳಂತೆ ಕಾಣಿಸಿತು, ಸಾತ್ವಿಕ ಪುರಾಣಗಳು ಮತ್ತು ಅದರ ಆಧಾರದ ಮೇಲೆ ಇರುವ ಮಹಾಕಾವ್ಯಗಳಿಲ್ಲದೆ ಅನರ್ಹರಿಂದ ತಲುಪಲಾಗದು."
"7","14","Poornaprajna then observed the broad, pure and charming dais (formed by the roots of the) Badari tree where squatted the distinguished monks glistening like Gods in heaven.","Poornaprajna then noticed the wide pure and beautiful platform formed by the roots of the Badari tree where sat the distinguished monks shining like gods in heaven.","ನಂತರ ಪೂರ್ಣಪ್ರಜ್ಞರು ಬದರಿ ಮರದ ಬೇರುಗಳಿಂದ ರೂಪುಗೊಂಡ ವಿಶಾಲವಾದ ಶುದ್ಧವಾದ ಮತ್ತು ಸುಂದರವಾದ ವೇದಿಕೆಯನ್ನು ಗಮನಿಸಿದರು, ಅಲ್ಲಿ ಸ್ವರ್ಗದಲ್ಲಿನ ದೇವತೆಗಳಂತೆ ಹೊಳೆಯುತ್ತಿರುವ ಶ್ರೇಷ್ಠ ಸನ್ಯಾಸಿಗಳು ಕುಳಿತಿದ್ದರು."
"7","15","These meritorious impeccable ascetics with matted locks of hair, many many in number who had renounced the worldly enjoyments and vanquished the six human infirmities (like anger), while some having no sacred thread on their bodies, subsisted on air like the serpents.","These virtuous perfect ascetics with matted locks of hair numerous in number who had abandoned the worldly pleasures and conquered the six human weaknesses like anger while some having no sacred thread on their bodies survived on air like the serpents.","ಜಟೆಯ ಕೂದಲನ್ನು ಹೊಂದಿದ್ದ ಈ ಸದ್ಗುಣಿ ಪರಿಪೂರ್ಣ ತಪಸ್ವಿಗಳು ಸಂಖ್ಯೆಯಲ್ಲಿ ಅನೇಕರಾಗಿದ್ದು, ಲೌಕಿಕ ಸುಖಗಳನ್ನು ತ್ಯಜಿಸಿದ್ದರು ಮತ್ತು ಕೋಪದಂತಹ ಆರು ಮಾನವ ದೌರ್ಬಲ್ಯಗಳನ್ನು ಜಯಿಸಿದ್ದರು, ಕೆಲವರು ತಮ್ಮ ದೇಹದ ಮೇಲೆ ಪವಿತ್ರ ನೂಲು ಇಲ್ಲದೆ ಸರ್ಪಗಳಂತೆ ವಾಯುವಿನಿಂದ ಬದುಕುತ್ತಿದ್ದರು."
"7","16","Poornaprajna saw distinctly Lord Narayana seated on the platform in the midst of the multitude of saints, embodied as Vedavyasa, the son of Satyavati, the adornment of the three worlds.","Poornaprajna saw clearly Lord Narayana seated on the platform in the center of the multitude of saints embodied as Vedavyasa the son of Satyavati the glory of the three worlds.","ಪೂರ್ಣಪ್ರಜ್ಞರು ಸಂತರ ಸಮೂಹದ ಮಧ್ಯದಲ್ಲಿ ವೇದಿಕೆಯ ಮೇಲೆ ಕುಳಿತಿರುವ ಭಗವಂತ ನಾರಾಯಣನನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ನೋಡಿದರು, ಸತ್ಯವತಿಯ ಪುತ್ರ ವೇದವ್ಯಾಸರಾಗಿ ಮೂರ್ತೀಭವಿಸಿದ್ದು, ಮೂರು ಲೋಕಗಳ ವೈಭವವಾಗಿದ್ದಾರೆ."
"7","17","Poornaprajna who always clearly discerned Lord Vedavyasa in the inmost sacred sanctum of his heart looked at him again and again as appeared the new every time, being surprised contemplated thus:","Poornaprajna who always clearly perceived Lord Vedavyasa in the innermost holy sanctuary of his heart looked at him repeatedly as he appeared fresh every time being astonished contemplated thus.","ತನ್ನ ಹೃದಯದ ಅಂತರಂಗ ಪವಿತ್ರ ಮಂದಿರದಲ್ಲಿ ಭಗವಂತ ವೇದವ್ಯಾಸರನ್ನು ಯಾವಾಗಲೂ ಸ್ಪಷ್ಟವಾಗಿ ಗ್ರಹಿಸುತ್ತಿದ್ದ ಪೂರ್ಣಪ್ರಜ್ಞರು, ಪ್ರತಿಬಾರಿ ತಾಜಾವಾಗಿ ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತಿದ್ದ ಅವರನ್ನು ಪದೇ ಪದೇ ನೋಡಿದರು, ವಿಸ್ಮಯಗೊಂಡು ಹೀಗೆ ಚಿಂತಿಸಿದರು."
"7","18","The impeccable Lord Vedavyasa is the very incarnation of Lord Narayana, the repository of countless worthy attributes who being implored by Chaturmukha Brahma manifested (on earth) as the son of Satyavati and sage Parasara.","The perfect Lord Vedavyasa is the true incarnation of Lord Narayana the storehouse of innumerable worthy attributes who being entreated by four-faced Brahma manifested on earth as the son of Satyavati and sage Parasara.","ಪರಿಪೂರ್ಣ ಭಗವಂತ ವೇದವ್ಯಾಸರು ಅಸಂಖ್ಯಾತ ಯೋಗ್ಯ ಗುಣಗಳ ಭಂಡಾರವಾದ ಭಗವಂತ ನಾರಾಯಣನ ನಿಜವಾದ ಅವತಾರರಾಗಿದ್ದಾರೆ, ನಾಲ್ಕು ಮುಖಗಳನ್ನು ಹೊಂದಿದ ಬ್ರಹ್ಮನಿಂದ ಬೇಡಿಕೆಯಿಟ್ಟಾಗ ಸತ್ಯವತಿ ಮತ್ತು ಋಷಿ ಪರಾಶರರ ಪುತ್ರನಾಗಿ ಭೂಮಿಯ ಮೇಲೆ ಪ್ರಕಟರಾದರು."
